Date,Star Rating,Total Films Reviewed,Reviews This Year,Following,Followers,Cleaned Review,Sentiment,Contains Profanity,Capital Letters,Review Length,Cluster,SVD_BERT_0,SVD_BERT_1,SVD_BERT_2,SVD_BERT_3,SVD_BERT_4,SVD_BERT_5,SVD_BERT_6,SVD_BERT_7,SVD_BERT_8,SVD_BERT_9,SVD_TFIDF_0,SVD_TFIDF_1,SVD_TFIDF_2,SVD_TFIDF_3,SVD_TFIDF_4,SVD_TFIDF_5,SVD_TFIDF_6,SVD_TFIDF_7,SVD_TFIDF_8,SVD_TFIDF_9
01 Sep 2023,1.1124255517438855,-0.15928359264796338,0.010011743371929232,-0.298372136580242,-0.20073553632937688,barbie2023 mentally ill people,-2.2171649392620987,-0.6476468296053026,-0.5326348779753022,30,0,5.1204963,-1.6517758,1.636033,-0.6302744,-0.02374965,-0.97937757,1.0813433,1.1438707,0.7706745,0.14704028,0.025017983718868868,-0.006454842529210803,-0.03373796479062487,-0.017415101867743026,-0.005358564544301319,0.010416731628566319,0.058572644209431556,0.02613429452957739,-0.020144412411239904,0.0089530841877743
15 Oct 2023,1.1124255517438855,1.4305757608023202,0.0696054539191273,-0.22114289112159538,0.6909850559870151,Bella hell loca,-0.3950443923645786,1.5440514093297317,-0.46047679655888246,15,0,5.8108745,0.84283733,4.6390896,0.5455587,-0.99528134,-0.34439498,-1.0008484,-0.19190001,-0.47439802,-0.89891,0.05401246943187615,0.0084822971840027,-0.06938807780589376,0.062297124480314325,0.2374468167574201,-0.05002965407562378,-0.0031857461735378787,-0.02837130166444138,0.0635933423099884,0.05169812122487502
11 Dec 2023,1.1124255517438855,-0.32603686272286503,-0.3475505199112592,-0.2750237600462325,-0.2942641396232383,hate see bitch childlike wonder,-3.310437267400611,1.5440514093297317,-0.5326348779753022,31,0,5.9834557,-2.3001099,1.8790367,-1.1894017,-0.7901846,1.1499282,-1.1583519,0.69933796,0.10447763,0.3530524,0.04172206100546252,-0.011324785814507986,-0.02931708405266397,-0.016129296088661496,0.0045971275624006125,-0.0019096504613374506,0.007225845539122895,0.022078277241063482,-0.006872384339489347,0.004387433725110209
14 Dec 2023,-1.1483467110301846,-0.018602495092916088,-0.49653479627925434,-0.29765372499458015,-0.12183029771989771,absolutely movie year unbelievably funny thoughtful gorgeous wanted pause every frame every character rendered care depth without hint morality placed actions audience would make incredible double bill withThe Lobsterobviously alsoTitaneobvious everyone discussing feminist lens someone 2 years autism diagnosis saw lot ,1.0930207209350629,-0.6476468296053026,-0.316160633726043,320,1,7.1149874,-0.74786186,-1.6468673,0.08472413,-0.6515353,0.2741357,-0.4228739,-0.2781783,0.060051076,-0.32294813,0.1276972668935879,-0.034798659638021257,-0.0319262937217956,-0.041356473902554654,-0.024005876605037817,-0.002270372510479214,0.00843676791414567,0.03831822337852159,0.06079608655016256,0.018562408611423865
15 Oct 2023,1.1124255517438855,-0.28529909316059265,-0.5263316515528534,-0.3041194292655366,-0.271415132303891,mark ruffalo stop giving toughest battlesgod horniest soldier,-0.3950443923645786,1.5440514093297317,-0.5326348779753022,61,0,6.963579,-1.1026834,1.4780103,1.2324456,1.7914453,-0.6371019,0.86634815,-0.00012608245,0.81563425,0.6003864,0.05506845679560542,-0.007565419181223489,0.07763441747651365,0.001444690551562182,-0.017355405439004407,-0.008779515433904341,-0.009787107987118814,0.0030855030108361764,0.012990264122652816,0.1862208617921422
28 Nov 2023,0.8612286336578776,-0.2217481726434477,-0.16876938826966498,-0.3166916320146186,-0.23577068088570932,people like sex movies gonna aneurysm see,-0.3950443923645786,1.5440514093297317,-0.5326348779753022,41,0,5.7453856,-1.0940847,1.5658543,0.36728573,0.6735244,-0.245088,-0.009342063,1.0686289,0.43247122,0.87580895,0.12812207294718372,-0.03634634490824525,-0.10930129587288878,-0.0627198127961197,-0.019108451444055916,0.004901290747117136,0.12027597186045177,0.12286111182298559,-0.08514006724110376,0.005703295433323078
11 Dec 2023,-1.1483467110301846,0.43820369426536493,-0.9434876253832399,10.3222655400514,0.1343832376877161,first moviebarbiewatches real world,0.4249098537393054,-0.6476468296053026,-0.5326348779753022,35,0,6.80929,-1.8228443,1.4262443,0.32366765,-0.02159053,0.26483548,0.40853423,-0.35959518,0.22397928,0.5914259,0.07598710227205797,-0.01856194169776506,-0.048094766262807224,-0.01953215223165099,0.028075559503271785,0.0026521475139098345,-0.022992896131438227,-0.0390818871317255,-0.08206637326547926,0.0058375999447705836
02 Sep 2023,1.1124255517438855,-0.6492231679168926,-0.9434876253832399,-0.28579993383116,1.8389191837110208,tag socialist lesbian whore,-0.3950443923645786,1.5440514093297317,-0.5326348779753022,27,0,5.3794727,-1.9827647,2.4751663,-2.0713995,-1.6890708,-1.0031226,-0.59539294,1.2061684,-0.36806005,0.7161809,0.006357921364643724,-0.00088655968569065,-0.006292968109544909,0.004261252136461189,0.014023907727879464,-0.002716364113099815,0.0012886268341010755,-8.937318510036745e-05,-0.0006896939271651542,0.01964134402465883
08 Nov 2023,-1.1483467110301846,1.5935268390514097,-0.5263316515528534,-0.17013566853960557,0.7823810852644041,nicole kidman said come place magic meant,1.4270761545329411,-0.6476468296053026,-0.5326348779753022,41,0,5.4282227,-1.2713624,2.2569463,0.40113974,0.87732935,-0.069989204,0.53337395,-0.4602019,0.1409755,0.32127017,0.024323159424197396,-0.0049812097790775944,-0.010212633856609228,-0.004381764016197185,-0.0017999402362602408,-0.0007213885175812312,-0.004363271833560862,0.0017961003945983123,-0.013652939814411501,-0.004767892700164591
24 Dec 2023,0.35883479748586206,-0.861059569640709,-0.7945033490152447,-0.33896239117013527,2.9265319321119496,watched mom ,-0.3950443923645786,-0.6476468296053026,-0.5326348779753022,12,0,4.511114,-3.01822,4.217712,-0.78672075,-0.7618336,0.67873186,-0.5271002,-0.45257664,-0.44714463,1.0920855,0.01830300747502392,-0.005590859541267848,-0.007585888989254056,-0.008177019243537134,-0.012867636505919183,-0.001295656355753842,-0.001291913501253396,0.01672829957285428,0.013617969435322213,-0.016799817534798492
