Date,Star Rating,Total Films Reviewed,Reviews This Year,Following,Followers,Cleaned Review,Sentiment,Contains Profanity,Capital Letters,Review Length,Cluster
01 Sep 2023,1.0793185466381199,-0.11426964637958266,0.0005177685501375475,-0.2761622798337407,-0.13852958738353624,barbie2023 but for mentally ill people,-2.4836501390097583,-0.5027002896631718,-0.5516011881826326,38,1
15 Oct 2023,1.0793185466381199,1.4779535948075095,0.02105098990987724,-0.18763411131025856,0.9038485981865396,Bella where the hell have you been loca,-0.49597076337027546,1.9892568605242655,-0.49176589849504754,39,2
11 Dec 2023,1.0793185466381199,-0.2812708541159808,-0.12268155960830059,-0.24939794981501354,-0.24785999495784897,they hate to see a bitch with childlike wonder,-3.6762577643934478,1.9892568605242655,-0.5516011881826326,46,1
14 Dec 2023,-1.4666164244907665,0.026620623339398165,-0.1740146130076498,-0.2753387619870106,-0.046293184902275686,absolutely movie of the year for me unbelievably funny and thoughtful and gorgeous i wanted to pause on every frame every character is rendered with such care and depth and without a hint of morality placed on their actions for the audience would make an incredible double bill withThe Lobsterobviously but alsoTitaneobvious why everyone s discussing this from a feminist lens but as someone 2 years out of an autism diagnosis i saw a lot of that ,0.8954047995773625,-0.5027002896631718,-0.37209531911987753,447,0
15 Oct 2023,1.0793185466381199,-0.24047251346376625,-0.18428122368751965,-0.2827504226075812,-0.22115061199995498,mark ruffalo stop giving me your toughest battlesgod you are my horniest soldier,-0.49597076337027546,1.9892568605242655,-0.5516011881826326,80,1
28 Nov 2023,0.7964368831793548,-0.17682710204631158,-0.06108189552908152,-0.2971619849253574,-0.17948397458564036,The people who don t like sex in movies are gonna have an aneurysm when they see this,-0.49597076337027546,1.9892568605242655,-0.49176589849504754,85,1
11 Dec 2023,-1.4666164244907665,0.4841060165195637,-0.32801377320569747,11.898313807300193,0.2532080293322422,this should be the first moviebarbiewatches in the real world,0.39848495566749176,-0.5027002896631718,-0.5516011881826326,61,2
02 Sep 2023,1.0793185466381199,-0.6049376899568827,-0.32801377320569747,-0.2617507175159645,2.2457279979911333,tag yourself i m the socialist lesbian whore,-0.49597076337027546,1.9892568605242655,-0.5516011881826326,44,1
08 Nov 2023,-1.4666164244907665,1.6411469574163675,-0.18428122368751965,-0.12916434419242387,1.0106861300181156,when nicole kidman said we come to this place for magic this is what she meant,1.491708612269207,-0.5027002896631718,-0.5516011881826326,78,2
24 Dec 2023,0.23067355626182445,-0.8170890613483982,-0.2766807198063483,-0.3226910381739894,3.517094626786887,watched this with my mom ,-0.49597076337027546,-0.5027002896631718,-0.5516011881826326,25,2
15 Dec 2023,-0.9008530975732362,-0.6147292917134142,0.11345048602870583,-0.2901620832281518,3.316240066943524,I hatedPoor Thingsand reviewed it for Vulture That people are speaking of this as a rousing weird feminist treatise is insane How are y all so easily fooled by such glaring misogyny Except belowRead my review here at Vulture there s a corroded spirit to the story like it s intermittently possessed by an edgelord who s unaware most women menstruate and an earlywave white feminist who believes having sex is the most empowering thing a woman can do For all the ,-0.5290987529642668,1.9892568605242655,0.04675170869321753,462,0
17 Dec 2023,-0.33508977065570583,-0.39931405306972145,-0.3485469945654372,-0.2901620832281518,-0.32513914298268887,I saw someone refer to this as a female version of Frankenstein which is funny because Frankenstein was written by a brilliant women and this was quite obviously written by a man,0.6469448776224269,-0.5027002896631718,-0.37209531911987753,178,1
18 Dec 2023,1.0793185466381199,-0.5630513935539424,-0.25614749844660856,0.3690639530792662,-0.08974044784711657,Barbie for people who listen to Björk,-0.49597076337027546,-0.5027002896631718,-0.43193060880746253,37,1
26 Dec 2023,1.0793185466381199,-0.4368485264697588,-0.08161511688882121,-0.3288674220244649,35.64064757279904,Mark Ruffalo looks way too much like Lalo Salamanca in this,0.2991009868855176,-0.5027002896631718,-0.31226002943229253,59,2
08 Dec 2023,-1.1837347610320013,-0.6887102827627631,0.103183875348836,-0.32639686848427474,-0.7029878805603624,objecting to a movie essentially everyone adores is a very lonely feeling and i don t think i ve ever been so outnumbered this movie was not made for me yes but that inevitably becomes its very problem how can a movie that marketed itself as an exploration of womanhood not be for me maybe it s because my feminism is not stuck in thoughtless 2010s 3rd wave influenced sexual liberation that deems fucking the most empowering thing a woman can do maybe ,-0.2624184367326362,1.9892568605242655,-0.5516011881826326,453,0
02 Sep 2023,1.0793185466381199,0.5852859013370557,-0.09188172756869105,-0.3268086274076398,0.31944729906781927,Mark Ruffalos Hugh Grant in Paddington 2,-0.49597076337027546,-0.5027002896631718,-0.2524247397447075,40,1
07 Dec 2023,1.0793185466381199,0.436235963487632,-0.29721394116608796,-0.21604547702244586,0.22186901999497993,a cinematic feast there are a handful of small lulls in the second act but as a complete picture it devours the absurdity and tragedy of living boiled down to a rich concentrate and then spray painted all over the walls i m craving that rewatch alreadygotta be a career best for emma stone and i don t say that lightly her character progression is so intuitive that it s sometimes almost difficult to watch human nature captured in facial expressions and ,-0.14561717645200295,1.9892568605242655,-0.5516011881826326,455,1
29 Sep 2023,-0.05220810719694069,5.223785244556165,1.694508530728662,-0.17898717391959287,3.3561260788273124,Don t know yet what I m going to rate this because I did enjoy it but idk how you do alllll of what this film does and never once show menstrual blood It still so very much feels like a man s idea of women s sexuality and liberation Still keeps women as objects despite so desperately wanting to show them as the master of their own ship A real conundrumNYFF 5,0.18779094184970663,-0.5027002896631718,0.04675170869321753,360,2
29 Sep 2023,0.5135552197205896,1.4164840948915063,0.1545169287481852,-0.19504577193082917,0.8636064611966461,emma at her best ruffalo is a great horny fop and i m so glad yorgos is out here doing his thing but real I get it vibes after a while,1.9886284561790777,1.9892568605242655,-0.49176589849504754,134,2
15 Dec 2023,0.7964368831793548,0.9628065468388808,-0.1740146130076498,0.4398864878980519,0.566598122704865,Acknowledging that this is as hollow and frothy an act of malegaze feminism as Barbie was a corporate didactic toy commercial I found both extremely entertaining does not mean this movie isn t also a gloriously weird modern cartoon parable about fathers and daughters little girls and women husbands and wives lovers and enemies sex workers and clients cruelty and humanity philosophy and reality and the balance between the desire for an adventurous life and the joys of a settled one ,-0.46864017195523255,1.9892568605242655,-0.37209531911987753,486,1
08 Dec 2023,-1.4666164244907665,2.4973681332375093,0.4111821957449313,-0.24816267304491843,1.571227047027784,I haven t been this happy watching a film from start to finish in a very long time,0.9649735777247445,-0.5027002896631718,-0.49176589849504754,82,2
