Cleaned Review,LOF Score,Is Outlier
barbie2023 but for mentally ill people,0.987853369355328,0
Bella where the hell have you been loca,0.9788355308824279,0
they hate to see a bitch with childlike wonder,0.9704420669357436,0
absolutely movie of the year for me unbelievably funny and thoughtful and gorgeous i wanted to pause on every frame every character is rendered with such care and depth and without a hint of morality placed on their actions for the audience would make an incredible double bill withThe Lobsterobviously but alsoTitaneobvious why everyone s discussing this from a feminist lens but as someone 2 years out of an autism diagnosis i saw a lot of that ,1.0000944072426585,0
mark ruffalo stop giving me your toughest battlesgod you are my horniest soldier,0.9874972621660433,0
The people who don t like sex in movies are gonna have an aneurysm when they see this,0.9771116274467133,0
this should be the first moviebarbiewatches in the real world,0.9723011470978129,0
tag yourself i m the socialist lesbian whore,0.9736876289277914,0
when nicole kidman said we come to this place for magic this is what she meant,0.9876462962304309,0
watched this with my mom ,,1
I hatedPoor Thingsand reviewed it for Vulture That people are speaking of this as a rousing weird feminist treatise is insane How are y all so easily fooled by such glaring misogyny Except belowRead my review here at Vulture there s a corroded spirit to the story like it s intermittently possessed by an edgelord who s unaware most women menstruate and an earlywave white feminist who believes having sex is the most empowering thing a woman can do For all the ,1.002261977655221,0
I saw someone refer to this as a female version of Frankenstein which is funny because Frankenstein was written by a brilliant women and this was quite obviously written by a man,0.9699001094727707,0
Barbie for people who listen to Björk,0.9778306606148781,0
Mark Ruffalo looks way too much like Lalo Salamanca in this,0.9816377749979063,0
objecting to a movie essentially everyone adores is a very lonely feeling and i don t think i ve ever been so outnumbered this movie was not made for me yes but that inevitably becomes its very problem how can a movie that marketed itself as an exploration of womanhood not be for me maybe it s because my feminism is not stuck in thoughtless 2010s 3rd wave influenced sexual liberation that deems fucking the most empowering thing a woman can do maybe ,0.9991351920406147,0
Mark Ruffalos Hugh Grant in Paddington 2,0.9909543352879826,0
a cinematic feast there are a handful of small lulls in the second act but as a complete picture it devours the absurdity and tragedy of living boiled down to a rich concentrate and then spray painted all over the walls i m craving that rewatch alreadygotta be a career best for emma stone and i don t say that lightly her character progression is so intuitive that it s sometimes almost difficult to watch human nature captured in facial expressions and ,1.0036411473701532,0
Don t know yet what I m going to rate this because I did enjoy it but idk how you do alllll of what this film does and never once show menstrual blood It still so very much feels like a man s idea of women s sexuality and liberation Still keeps women as objects despite so desperately wanting to show them as the master of their own ship A real conundrumNYFF 5,0.99209833817995,0
emma at her best ruffalo is a great horny fop and i m so glad yorgos is out here doing his thing but real I get it vibes after a while,0.9799812309635542,0
Acknowledging that this is as hollow and frothy an act of malegaze feminism as Barbie was a corporate didactic toy commercial I found both extremely entertaining does not mean this movie isn t also a gloriously weird modern cartoon parable about fathers and daughters little girls and women husbands and wives lovers and enemies sex workers and clients cruelty and humanity philosophy and reality and the balance between the desire for an adventurous life and the joys of a settled one ,1.003493136573398,0
I haven t been this happy watching a film from start to finish in a very long time,0.9810947522965014,0
a real mood lifter,0.9806575030103764,0
cheesed to meet you,0.9681323304259601,0
